                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3205,                 2.1788,                 1.0417,                 1.4774,                0.76055,                0.59259,                0.71088,                0.44426,                0.75626,                0.56667,                0.67923,                0.39538,                 1.4174,                 2.5036,                 1.3249,                  1.693,              0.0018733,              0.0018733,              0.0018733
                     34,                 1.2919,                 2.1038,                 1.0211,                 1.4333,                0.88571,                0.84074,                0.91565,                0.61377,                0.90532,                0.77911,                0.87371,                0.53295,                 1.2302,                 2.1565,                0.82466,                  1.517,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.2927,                 2.1253,                  1.025,                 1.4486,                 0.8726,                0.78639,                0.89658,                 0.6064,                0.85633,                0.77266,                0.86815,                0.53457,                 1.1805,                 2.0824,                0.88529,                 1.4712,              0.0018654,              0.0018654,              0.0018654
                     36,                 1.3329,                 2.1793,                 1.0267,                 1.4879,                0.89838,                0.72031,                0.83266,                0.52679,                0.85284,                0.71481,                0.78853,                0.46329,                 1.3329,                 2.2664,                 1.1436,                 1.6201,              0.0018614,              0.0018614,              0.0018614
                     37,                 1.2778,                 2.0372,                0.99691,                 1.4193,                0.84234,                0.61342,                0.75802,                0.50623,                0.80652,                 0.5867,                0.71074,                0.42444,                 1.3682,                  2.523,                  1.201,                 1.6765,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.2835,                 2.0845,                  1.006,                 1.4549,                0.82059,                0.71147,                0.81089,                0.53442,                0.81171,                0.66667,                0.77899,                0.44799,                  1.305,                  2.316,                 1.0787,                 1.5769,              0.0018535,              0.0018535,              0.0018535
                     39,                 1.2904,                 2.1997,                 0.9949,                 1.4337,                0.86163,                0.81111,                0.89042,                0.60307,                0.83935,                0.79341,                0.86255,                0.53043,                 1.1906,                 2.1009,                0.87616,                 1.4621,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.2711,                 2.1457,                0.96492,                 1.4233,                 0.6856,                0.58151,                0.66121,                0.39091,                0.64133,                0.54074,                0.59293,                0.31525,                 1.6264,                 2.9745,                 1.4687,                 1.8941,              0.0018456,              0.0018456,              0.0018456
                     41,                 1.2587,                 2.0782,                0.97368,                 1.4236,                0.95649,                 0.7037,                0.83707,                0.55543,                0.92465,                0.68173,                0.79725,                0.47283,                 1.2595,                 2.3274,                 1.0339,                 1.5478,              0.0018416,              0.0018416,              0.0018416
                     42,                 1.2762,                 2.0961,                 1.0033,                 1.4362,                0.86449,                0.77037,                0.88627,                0.58431,                0.87958,                0.71481,                0.83706,                0.50639,                 1.2262,                 2.2344,                0.94667,                 1.4987,              0.0018376,              0.0018376,              0.0018376
